0,0,5,-70
0,30,5,-70
0,30,5,0
0,-60,5,-35
2,110,5,-50
2,150,5,-100
2,110,5,-140
2,60,5,-125
2,75,5,-75
3,-160,5,-155
3,-225,5,-130
3,-250,5,-75
3,-200,5,-60
3,-125,5,-90
4,-125,5,25
4,-100,5,80
4,-150,5,100
4,-210,5,90
4,-225,5,20
7,-500,5,150
7,-455,5,180
7,-475,5,230
7,-530,5,230
7,-560,5,190
8,-530,5,300
8,-475,5,270
8,-450,5,310
8,-475,5,350
8,-550,5,330
8,-600,5,260
10,-200,5,500
10,-175,5,425
10,-100,5,450
10,-90,5,500
10,-130,5,525
11,-350,5,630
11,-300,5,580
11,-250,5,600
11,-250,5,700
11,-300,5,710
12,-225,5,675
12,-150,5,710
12,-100,5,650
12,-130,5,600
12,-190,5,620
13,85,5,570
13,91,5,500
13,150,5,515
13,140,5,560
13,110,5,600
14,55,5,400
14,5,5,375
14,25,5,330
14,75,5,350
15,140,5,455
15,115,5,400
15,150,5,355
15,200,5,415
15,180,5,475
16,-25,5,295
16,-60,5,330
16,-70,5,250
16,0,5,260
16,50,5,300
17,235,5,385
17,280,5,300
17,305,5,345
17,290,5,425
18,130,5,280
18,170,5,260
18,215,5,300
18,185,5,345
18,145,5,330
19,245,5,275
19,275,5,235
19,240,5,300
19,215,5,235
